id,year,report,sector,industry,company,sentence,token_count,label,label_source
26,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,Our commitment to Sustainability includes active management of PFAS per- and polyfluoroalkyl substances related issues.,15,E,synthetic
32,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Over the last few decades, 3M has reduced our 2M tons.",11,E,synthetic
102,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Beginning in 2019, each 3M product entering the new product commercialization process will include a Sustainability Value Commitment that demonstrates how it drives impact for the greater good.",28,E,synthetic
772,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In March, 3M celebrated International Women s Day with global celebrations around the world.",14,S,synthetic
1249,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In addition to offering online training, the Ethics Compliance Department in close collaboration with 3M Legal Affairs, local compliance partners, Finance, and Human Resources provides frequent, tailored, in-person training opportunities to businesses, subsidiaries, staff groups, and third parties.",38,G,synthetic
1611,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"We will be implementing a new global site EHS management of change system and a new Environmental Hazard Assessment EHA process tool developing standard work for event investigations and exploring real-time data systems to track EHS compliance, risk reduction, and cultural excellence.",42,E,synthetic
1712,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"We see the circular economy as an opportunity to inspire leadership, innovation, and disruptive change, all driving impact for a sustainable future.",22,E,synthetic
2154,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In 2019, 3M formed the Science, Technology Sustainability STS Committee of the Board of Directors.",15,G,synthetic
2195,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Our suppliers have their own suppliers, extending back to the original source of each material we use.",17,S,synthetic
2209,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,We are currently exploring supply chain integration opportunities with some of our key suppliers in effort to advance circularity.,19,E,synthetic
2266,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,We have seen many suppliers make significant progress in their own programs.,12,S,synthetic
2413,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,Communicating the potential hazards of 3M materials supports 3M s core values and is an integral part of keeping stakeholders informed about 3M materials.,24,S,synthetic
2642,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"12 5 By 2030, substantially reduce waste generation through prevention, reduction, recycling, and reuse.",14,E,synthetic
3265,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Guided by 3M s design, employees in Cummins facility in Neillsville, Wisconsin, modified existing equipment normally used to produce diesel engine filters to make the high-efficiency particulate filters used in PAPRs.",31,S,synthetic
3275,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"The PAPRs were designed, prototyped, and approved in less than 40 days.",12,I,synthetic
3550,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,3M is improving occupational health and safety by Capacity building.,10,S,synthetic
3576,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"These students are actually looking at the road problems around their schools, and they are giving us possible solutions, Singh explains.",21,S,synthetic
3968,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Funds that were earmarked for specific programs were redistributed to support general operations and other in-the-moment needs.,17,I,synthetic
4076,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"In 2020, 3M provided 14.6K work hours of skills-based volunteerism through 3M Impact.",13,S,synthetic
4123,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Inclusion leads to engagement, engagement fosters creativity, creativity sparks innovation, and innovation manifests growth.",14,S,synthetic
4450,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Advancing our operating model in 2020 3M has been on a journey to transform how we serve customers, work, and compete.",21,I,synthetic
4673,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Through this work, the Ethics Compliance Department established a close partnership with 3M s Health Care Compliance Team whose global health care compliance leader has a dotted line reporting to the vice president and chief ethics compliance officer to assure alignment and to enhance work efficiencies between the two groups.",50,G,synthetic
4886,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Additional information on 3M s employee development and compensation can be found in the Employee programs section and on 3M.com.,20,S,synthetic
4900,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"See our results and more in the 3M 2020 Global Diversity, Equity Inclusion Report.",14,S,synthetic
4961,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Taken as a whole, our 2015 goal has been operationalized.",10,I,synthetic
5072,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"FlexAbility can be used to create focused work time, improve collaboration, avoid inclement weather, reduce commuting time, increase productivity, enhance inclusion, accommodate time zone differences, make time for family needs, maintain a healthy lifestyle, participate in volunteer activities, and promote agility.",41,S,synthetic
5142,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Uniformed security personnel support and assist workers and visitors in both emergency and non-emergency situations, such as incidents, loss or theft, and suspicious items or behaviors.",26,S,synthetic
5165,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Feature stories Who we are How we work What we create About report 130 3M 2021 Sustainability Report improvinglives,19,I,synthetic
5207,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"3M site leadership teams continue collaborating with their local communities, disease prevention coordinators/occupational health nurses, and public health authorities around the world such as the U.S. Centers for Disease Control and Prevention CDC and the World Health Organization WHO to continuously evaluate and reinforce safe operating practices.",47,S,synthetic
5310,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,See how 3M is Helping the world respond to COVID-19.,10,S,synthetic
5430,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,We develop reusable products and create products for our customers using renewable or recycled materials.,15,E,synthetic
5567,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"In addition to our Board of Directors Committees, climate risk is reviewed throughout the year within our executive-level Innovation Steering Committee and our Science for Climate Leadership Team.",28,G,synthetic
5568,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Risk factors Regulatory 3M continually evaluates aspects of regulatory risk during regular business interactions, including new product development and continuous business improvement.",22,G,synthetic
5621,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Increase renewable energy to 50% of total electricity use by 2025 toward goal of 50% increase 2025 goal 2015.,19,E,synthetic
5786,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"The 3M Supplier Responsibility Code SRC is based on 3M s corporate values for sustainable and responsible operations and aligns with the Ten Principles of the United Nations Global Compact, of which 3M is a participant.",36,S,synthetic
6163,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Early in the COVID-19 outbreak, 3M leaders realized that helping with the fight against COVID-19 was going to include finding new ways to work with other companies and organizations to create innovative solutions.",33,S,synthetic
6293,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"We are on the leading edge of building new platforms in emerging, high-growth electronics market segments, like data centers, semiconductor, and automotive electrification.",23,I,synthetic
6305,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Feature stories Who we are How we work What we create About report 197 3M 2021 Sustainability Report improvinglives,19,I,synthetic
6635,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Absolute Scope 2 market-based emissions indirect Metric tons CO2e 1,780,000 1,650,000 1,480,000 1,320,000 1,250,000 -5.30 -29.8.",16,E,synthetic
6763,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,2021 2020 AcBel Sustainability Report was published in accordance with the GRI Guidelines and SASB Standards.,16,G,synthetic
6805,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,"tw on June 30 every year in accordance with the regulations of the competent authority, TWSE.",16,I,synthetic
6957,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,"Although the uncertainty of tax risk is relatively low due to the complexity of tax regulations and compliance obligations of AcBel and its operating bases, the company will seek advice from outside professional advisors in a timely manner to reduce or eliminate the risk of legal sanctions, financial loss or damage to goodwill due to non-compliance with tax laws and regulations for tax risks of significant uncertainty and high complexity.",70,G,synthetic
7190,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,"However, investors are also very concerned about environmental issues such as energy management and carbon emissions.",16,E,synthetic
7798,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,"The countries where we operate may impose total emissions controls on air pollutants, such as total volatile organic compounds TVOCs .",21,E,synthetic
