id,year,report,sector,industry,company,sentence,label,lab_A,conf_A,span_A,rationale_A,raw_A
2243,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",,S,0.85,3M suppliers can provide complete supply chain information all the way to the forest sources,"The sentence focuses on supply chain transparency and information sharing among suppliers, which relates to social factors such as supplier social assessment and responsible sourcing.","{""label"": ""S"", ""confidence"": 0.85, ""span"": ""3M suppliers can provide complete supply chain information all the way to the forest sources"", ""rationale"": ""The sentence focuses on supply chain transparency and information sharing among suppliers, which relates to social factors such as supplier social assessment and responsible sourcing.""}"
19294,2020,Novartis_2020_ESG,Manufacturing,Pharmaceutical,Novartis,Novartis invested in two pilot projects to support these efforts in 2020.,,I,0.95,invested in two pilot projects,"The sentence mentions investment in pilot projects but does not specify any environmental, social, or governance context, making it a generic statement without clear ESG relevance.","{""label"": ""I"", ""confidence"": 0.95, ""span"": ""invested in two pilot projects"", ""rationale"": ""The sentence mentions investment in pilot projects but does not specify any environmental, social, or governance context, making it a generic statement without clear ESG relevance.""}"
1395,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",,I,0.95,launched 10 data science and eight digitization functional learning paths,"The sentence describes launching learning paths and completions, which is a generic educational or training activity without clear connection to environmental, social, or governance factors.","{""label"": ""I"", ""confidence"": 0.95, ""span"": ""launched 10 data science and eight digitization functional learning paths"", ""rationale"": ""The sentence describes launching learning paths and completions, which is a generic educational or training activity without clear connection to environmental, social, or governance factors.""}"
5226,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",,S,0.95,help employees and their families achieve their well-being goals,"The sentence focuses on employee well-being, which is a social factor related to human capital and employee health and wellness.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""help employees and their families achieve their well-being goals"", ""rationale"": ""The sentence focuses on employee well-being, which is a social factor related to human capital and employee health and wellness.""}"
9154,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",,E,0.95,low-carbon value creation,"The phrase 'low-carbon value creation' directly relates to environmental factors, specifically carbon emissions reduction and sustainable practices in the value chain.","{""label"": ""E"", ""confidence"": 0.95, ""span"": ""low-carbon value creation"", ""rationale"": ""The phrase 'low-carbon value creation' directly relates to environmental factors, specifically carbon emissions reduction and sustainable practices in the value chain.""}"
11240,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",,S,0.95,it does not discriminate based on gender,"The sentence addresses non-discrimination based on gender in remuneration, which relates to social factors such as diversity and equal opportunity.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""it does not discriminate based on gender"", ""rationale"": ""The sentence addresses non-discrimination based on gender in remuneration, which relates to social factors such as diversity and equal opportunity.""}"
1393,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",,S,0.95,employee development,"The sentence focuses on providing learning resources and employee development, which relates to human capital and workforce development, a social factor.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""employee development"", ""rationale"": ""The sentence focuses on providing learning resources and employee development, which relates to human capital and workforce development, a social factor.""}"
17055,2023,Ford_2023_ESG,Manufacturing,Automobiles and Components,Ford,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,,E,0.95,sustainability and Vehicle Environmental Matters,"The sentence focuses on coordinating sustainability strategy and vehicle environmental matters, which are directly related to environmental factors.","{""label"": ""E"", ""confidence"": 0.95, ""span"": ""sustainability and Vehicle Environmental Matters"", ""rationale"": ""The sentence focuses on coordinating sustainability strategy and vehicle environmental matters, which are directly related to environmental factors.""}"
4691,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",,S,0.95,"in-person training to a virtual environment, reaching approximately 25K employees","The sentence relates to employee training and development, which is a social factor concerning human capital and workforce education.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""in-person training to a virtual environment, reaching approximately 25K employees"", ""rationale"": ""The sentence relates to employee training and development, which is a social factor concerning human capital and workforce education.""}"
20544,2022,TSMC_2022_TCFD,Manufacturing,UNKNOWN,TSMC,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",,G,0.95,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board","The sentence discusses oversight and reporting structures related to risk management, which are governance-related activities involving board supervision and committee roles.","{""label"": ""G"", ""confidence"": 0.95, ""span"": ""Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board"", ""rationale"": ""The sentence discusses oversight and reporting structures related to risk management, which are governance-related activities involving board supervision and committee roles.""}"
