id,year,report,sector,industry,company,sentence,label,rel_C,conf_C,keywords_C,rationale_C,raw_C
2243,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",,Yes,0.95,supply chain information|forest sources|paper or pulp mills,"The sentence describes a system for tracking supply chain information back to forest sources, which is directly relevant to environmental aspects of responsible sourcing and deforestation prevention, particularly in the context of paper and pulp products.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""supply chain information"", ""forest sources"", ""paper or pulp mills""], ""rationale"": ""The sentence describes a system for tracking supply chain information back to forest sources, which is directly relevant to environmental aspects of responsible sourcing and deforestation prevention, particularly in the context of paper and pulp products.""}"
19294,2020,Novartis_2020_ESG,Manufacturing,Pharmaceutical,Novartis,Novartis invested in two pilot projects to support these efforts in 2020.,,No,0.95,,"The sentence mentions investment in 'two pilot projects' and 'these efforts' but lacks specific context about what 'these efforts' refer to, making it impossible to determine any ESG relevance. Without further information, it's a generic statement about corporate activity.","{""relevance"": ""No"", ""confidence"": 0.95, ""keywords"": [], ""rationale"": ""The sentence mentions investment in 'two pilot projects' and 'these efforts' but lacks specific context about what 'these efforts' refer to, making it impossible to determine any ESG relevance. Without further information, it's a generic statement about corporate activity.""}"
1395,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",,Yes,0.85,functional learning paths|data science|digitization,"The sentence describes investments in employee training and development, specifically in data science and digitization, which falls under the Social (S) aspect of ESG by enhancing human capital and workforce skills.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""functional learning paths"", ""data science"", ""digitization""], ""rationale"": ""The sentence describes investments in employee training and development, specifically in data science and digitization, which falls under the Social (S) aspect of ESG by enhancing human capital and workforce skills.""}"
5226,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",,Yes,0.95,Health|wealth|wellness|resilience|employees|well-being goals,"The sentence directly addresses employee well-being, including health, wealth, wellness, and resilience, which are core components of the Social (S) aspect of ESG, specifically under human capital management and employee welfare.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Health"", ""wealth"", ""wellness"", ""resilience"", ""employees"", ""well-being goals""], ""rationale"": ""The sentence directly addresses employee well-being, including health, wealth, wellness, and resilience, which are core components of the Social (S) aspect of ESG, specifically under human capital management and employee welfare.""}"
9154,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",,Yes,0.95,supply chain partners|low-carbon value creation|value chain innovation,"The sentence explicitly mentions 'low-carbon value creation' and collaboration with 'supply chain partners' for innovation, which directly relates to environmental aspects of ESG and sustainable supply chain management.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""supply chain partners"", ""low-carbon value creation"", ""value chain innovation""], ""rationale"": ""The sentence explicitly mentions 'low-carbon value creation' and collaboration with 'supply chain partners' for innovation, which directly relates to environmental aspects of ESG and sustainable supply chain management.""}"
11240,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",,Yes,0.95,Remuneration packages|discriminate|gender,"The sentence directly addresses non-discrimination based on gender in remuneration, which is a key aspect of social equity and fair labor practices under the Social (S) dimension of ESG.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Remuneration packages"", ""discriminate"", ""gender""], ""rationale"": ""The sentence directly addresses non-discrimination based on gender in remuneration, which is a key aspect of social equity and fair labor practices under the Social (S) dimension of ESG.""}"
1393,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",,Yes,0.95,employee development|learning resources|global workforce,"The sentence directly addresses employee development and access to learning resources for a global workforce, which are key aspects of social sustainability (S) within ESG, focusing on human capital development and employee well-being.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""employee development"", ""learning resources"", ""global workforce""], ""rationale"": ""The sentence directly addresses employee development and access to learning resources for a global workforce, which are key aspects of social sustainability (S) within ESG, focusing on human capital development and employee well-being.""}"
17055,2023,Ford_2023_ESG,Manufacturing,Automobiles and Components,Ford,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,,Yes,0.95,Sustainability strategy|sustainability reporting|stakeholder engagement|integrate sustainability,"The sentence explicitly details a function area dedicated to coordinating and leading the company's sustainability strategy, reporting, and stakeholder engagement, which are core aspects of ESG management.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Sustainability strategy"", ""sustainability reporting"", ""stakeholder engagement"", ""integrate sustainability""], ""rationale"": ""The sentence explicitly details a function area dedicated to coordinating and leading the company's sustainability strategy, reporting, and stakeholder engagement, which are core aspects of ESG management.""}"
4691,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",,Yes,0.85,training|employees|virtual environment,"The sentence discusses employee training, which is a key aspect of human capital development under the Social (S) pillar of ESG. The shift to a virtual environment also highlights adaptability in employee development programs.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""training"", ""employees"", ""virtual environment""], ""rationale"": ""The sentence discusses employee training, which is a key aspect of human capital development under the Social (S) pillar of ESG. The shift to a virtual environment also highlights adaptability in employee development programs.""}"
20544,2022,TSMC_2022_TCFD,Manufacturing,UNKNOWN,TSMC,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",,Yes,0.9,Risk Management Steering Committee|reports progress to the Board|Risk mitigations,"The sentence describes a governance structure (Risk Management Steering Committee reporting to the Board) responsible for supervising risk mitigations, which is a key aspect of effective corporate governance and oversight of ESG risks.","{""relevance"": ""Yes"", ""confidence"": 0.9, ""keywords"": [""Risk Management Steering Committee"", ""reports progress to the Board"", ""Risk mitigations""], ""rationale"": ""The sentence describes a governance structure (Risk Management Steering Committee reporting to the Board) responsible for supervising risk mitigations, which is a key aspect of effective corporate governance and oversight of ESG risks.""}"
