id,sentence,original_need_debate,role,initial_label,initial_span,initial_rationale,claim
2243,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",False,A,S,3M suppliers can provide complete supply chain information all the way to the forest sources,"The sentence focuses on supply chain transparency and information sharing among suppliers, which relates to social factors such as supplier social assessment and responsible sourcing.","The sentence emphasizes the ability of 3M suppliers to share detailed supply chain information, which is a key aspect of social responsibility in terms of supplier assessment and ensuring ethical sourcing practices."
19294,Novartis invested in two pilot projects to support these efforts in 2020.,False,A,I,invested in two pilot projects,"The sentence mentions investment in pilot projects but does not specify any environmental, social, or governance context, making it a generic statement without clear ESG relevance.","The sentence only states that Novartis invested in two pilot projects without specifying the nature of these projects or their connection to environmental, social, or governance issues, so it does not provide clear evidence to classify it under any ESG category."
1395,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",True,A,I,launched 10 data science and eight digitization functional learning paths,"The sentence describes launching learning paths and completions, which is a generic educational or training activity without clear connection to environmental, social, or governance factors.","The sentence describes launching educational programs and completions, which are general training activities and do not explicitly relate to environmental, social, or governance issues."
5226,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",False,A,S,help employees and their families achieve their well-being goals,"The sentence focuses on employee well-being, which is a social factor related to human capital and employee health and wellness.","The sentence explicitly mentions helping employees and their families achieve well-being goals, which directly relates to employee health and wellness, a key social factor within ESG."
9154,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",False,A,E,low-carbon value creation,"The phrase 'low-carbon value creation' directly relates to environmental factors, specifically carbon emissions reduction and sustainable practices in the value chain.","The phrase 'low-carbon value creation' explicitly refers to reducing carbon emissions, which is a core environmental concern, thus justifying the Environmental (E) label."
11240,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",False,A,S,it does not discriminate based on gender,"The sentence addresses non-discrimination based on gender in remuneration, which relates to social factors such as diversity and equal opportunity.","The sentence explicitly states that remuneration packages do not discriminate based on gender, which directly relates to social aspects of equality and non-discrimination in the workplace, justifying the social (S) label."
1393,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",False,A,S,employee development,"The sentence focuses on providing learning resources and employee development, which relates to human capital and workforce development, a social factor.","The sentence explicitly mentions providing learning resources and enabling employee development, which directly pertains to social factors within ESG, specifically human capital and workforce development."
17055,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,True,A,E,sustainability and Vehicle Environmental Matters,"The sentence focuses on coordinating sustainability strategy and vehicle environmental matters, which are directly related to environmental factors.","The sentence explicitly mentions coordinating the company-wide sustainability strategy and vehicle environmental matters, which are core components of environmental considerations in ESG. It also highlights sustainability reporting and integration across the company, reinforcing its focus on environmental factors."
4691,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",False,A,S,"in-person training to a virtual environment, reaching approximately 25K employees","The sentence relates to employee training and development, which is a social factor concerning human capital and workforce education.","The sentence clearly discusses the transition of employee training from in-person to virtual, highlighting efforts in workforce education and development, which are key aspects of the social dimension in ESG."
20544,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",False,A,G,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board","The sentence discusses oversight and reporting structures related to risk management, which are governance-related activities involving board supervision and committee roles.","The sentence explicitly describes governance structures by mentioning supervision by a steering committee and reporting to the Board, which are key governance activities ensuring oversight and accountability."
15920,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,True,A,G,management s best estimate of the most likely outcome for each individual exposure,"The sentence refers to management's estimation process, which relates to governance practices in decision-making and risk assessment.","The sentence highlights management's role in estimating outcomes, which is a governance function related to decision-making and risk assessment processes."
1987,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",False,A,G,risk factors applicable to the company,The mention of risk factors in an annual report relates to governance as it involves management of legal and regulatory environment and disclosure practices.,"The sentence highlights the disclosure of risk factors in an official company document, which directly pertains to governance as it involves transparency, regulatory compliance, and management oversight."
7427,Raising Awareness of Information Security of the Personnel Annual Requisition of All Personnel to Sign an Information Security Declaration Annual Performance of Information Security Simulation Exercises and Strengthening Information Security Awareness Monthly Informational E-newsletter Providing Information Security Information Advising and Supervising the Employees to Follow the Company's Information Security Policy Regular Arrangement of Online Information Safety Training for New Employees Aperiodic Physical Education Training on Information Security-related Topics.,False,A,S,Information Security,"The sentence focuses on raising awareness, training, and supervising employees regarding information security, which pertains to social factors such as employee training, information protection, and workplace practices.","The sentence explicitly details activities related to information security awareness, training, and supervision of employees, which directly aligns with social factors concerning employee training and workplace practices, justifying the prior ESG label of Social."
