id,sentence,original_need_debate,role,initial_label,initial_span,initial_rationale,claim
2243,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",False,C,S,3M suppliers can provide complete supply chain information all the way to the forest sources,"The sentence discusses supply chain information and engaging suppliers, which falls under social factors related to supply chain labor standards and supplier social assessment. While 'forest sources' might hint at environmental, the primary focus is on the social aspect of managing the supply chain through supplier engagement.","The sentence primarily describes the mechanism for 3M to gather supply chain information from its suppliers, emphasizing the 'engagement' and 'assessment' aspect of the supply chain. This process of collecting information from suppliers, even if it eventually traces to 'forest sources,' is fundamentally about supplier relationships, transparency, and the social governance of the supply chain, which are key social factors. The 'forest sources' merely represent the endpoint of the information gathering, not the core activity being described, which is the social interaction and data collection within the supply chain."
19294,Novartis invested in two pilot projects to support these efforts in 2020.,False,C,I,,"The sentence mentions investment in pilot projects but lacks any specific ESG context, making it irrelevant to E, S, or G factors.","The sentence states an investment in 'pilot projects' but provides no information about the nature of these projects or their connection to environmental, social, or governance factors. Without this context, it is impossible to classify the investment under E, S, or G."
1395,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",True,C,S,functional learning paths,"The sentence describes the launch of learning paths, which falls under human capital development and employee training, a key aspect of social factors.","The launch of 'functional learning paths' directly relates to employee training and development, a core component of human capital management under the Social (S) pillar. These paths enhance employee skills and career progression, demonstrating an investment in the workforce."
5226,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",False,C,S,help employees and their families achieve their well-being goals,"The sentence discusses programs and services aimed at improving the health, wealth, wellness, and resilience of employees and their families, which directly relates to employee well-being and human capital development, a key social factor.","The sentence explicitly details programs and services designed to help employees and their families achieve well-being goals, directly aligning with the 'S' (Social) category by focusing on human capital development and employee welfare."
9154,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",False,C,E,low-carbon value creation,"The phrase 'low-carbon value creation' directly relates to environmental efforts to reduce carbon emissions within the supply chain, which is a key environmental factor.","The phrase 'low-carbon value creation' explicitly refers to environmental initiatives aimed at reducing carbon emissions within the supply chain, which is a core environmental concern."
11240,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",False,C,S,discriminate based on gender,"The sentence explicitly mentions non-discrimination based on gender in remuneration, which falls under social factors related to diversity, inclusion, and equal opportunity in employment practices.","The sentence directly states 'it does not discriminate based on gender' in the context of 'Remuneration packages,' which is a clear indicator of a social factor related to fair labor practices and equal opportunity."
1393,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",False,C,S,employee development,"The sentence describes a program focused on providing learning resources for employee development, which falls under human capital development, a key social factor.","The sentence explicitly states that ""Develop U provides access to tens of thousands of unique, just-in-time learning resources...allowing 3M's global workforce to engage in employee development."" This directly describes a program focused on enhancing employee skills and knowledge, which is a core aspect of human capital development within the Social (S) domain."
17055,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,True,C,G,Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement,"The sentence describes the coordination of a company-wide sustainability strategy, sustainability reporting, and stakeholder engagement, which are all aspects of governance related to ESG oversight and disclosure.","The sentence explicitly states 'Coordinates our Company-wide sustainability strategy and activities' and 'Leads our sustainability reporting and stakeholder engagement.' These actions directly relate to the oversight, management, and disclosure of ESG initiatives, which are core functions of governance within a company."
4691,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",False,C,S,"in-person training to a virtual environment, reaching approximately 25K employees","The sentence discusses employee training and development, which falls under human capital management, a key aspect of social factors.","The sentence describes a company's initiative to adapt and deliver training to a large number of employees, directly reflecting an investment in human capital development and employee well-being, which are core components of social factors in ESG."
20544,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",False,C,G,"Risk Management Steering Committee, which reports progress to the Board","The sentence describes the oversight structure for risk management, involving a steering committee and reporting to the Board, which are key aspects of corporate governance.","The sentence explicitly details the oversight structure for risk management, identifying the 'Risk Management Steering Committee' and its reporting line to 'the Board'. This directly reflects corporate governance principles concerning accountability and supervision of critical business functions like risk management."
