id,year,report,sector,industry,company,sentence,token_count,label,label_source
54,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"It anchors purpose-driven innovation in our products, manufacturing processes, and new technologies and we re always trying to do more.",20,I,synthetic
126,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Sustainability has always been at the core of 3M but we re looking to do more, said Chief Technology Officer John Banovetz, when he announced the new product requirement.",29,I,human
573,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,We have a commitment and the ability to use our resources and capabilities to impact the world.,17,I,synthetic
920,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"For 3M, diversity, in its myriad manifestations, is fundamental to innovation, performance, and relevancy.",14,S,synthetic
1055,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"We encourage our employees to ask questions or report concerns to management, 3M s Ethics Compliance Department, 3M legal counsel, 3MEthics.com, their assigned human resources manager, 3M Corporate Audit Department, or the Audit Committee of the Board of Directors.",39,G,synthetic
1457,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,3M follows all applicable local laws and regulations regarding notice periods in the event of business operations changes.,18,G,human
1546,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,Contractors are asked to submit notification to 3M of worker hours and any injuries occurring while performing work in accordance with a 3M contract.,24,S,synthetic
1576,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,How we work 134 135 3M 2020 Sustainability Report improvinglives Health and safety,13,S,synthetic
1842,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"When we expand outside of our own value chain, the opportunities can be endless.",14,I,synthetic
1935,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"The Audit Committee will meet with the frequency, and at intervals, it determines necessary to carry out its duties and responsibilities, but in any case, not less than four times a year.",32,G,synthetic
2135,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,Each step in the supply chain includes benefits like employment and community-building as well as the potential for negative impacts such as pollution or unsafe or unfair labor practices .,30,S,synthetic
2298,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Throughout the process, we not only meet their expressed needs we are often able to identify and address unarticulated needs.",20,I,synthetic
2388,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"The process must meet and maintain continuous compliance with applicable national, regional, and local regulations, as well as 3M expectations.",20,G,synthetic
2400,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,They are managed by the company and can be leveraged by any of the businesses to serve their respective customers or markets.,22,I,synthetic
2962,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,Waste Metrics Units Value Energy Metrics Units Value Air Emissions Metrics Units Value.,13,E,synthetic
3347,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"The initial portion of the study was a survey that included customers, suppliers, and external stakeholders NGOs, corporate/private sector, academics, government, media, finance, etc.",24,G,human
5037,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,3M s Human Resources HR Department benefits from using one global system to track HR information.,16,S,synthetic
5066,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Employees could customize when and where they worked by balancing their own preferences against the needs of their team and job requirements.,22,S,synthetic
5220,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,These actions helped us quickly respond to the COVID-19 pandemic to assure business continuity while maintaining our highest priority the safety of our people.,24,S,synthetic
5463,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"These principles center on rebuilding a stronger, more resilient economy as we look to recover from the pandemic and build equity and community inclusion into sustainability efforts.",27,S,synthetic
5470,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"In 2020, 3M sponsored Closed Loop Partners Advanced Recycling Investor Roadmap Project.",12,E,synthetic
5960,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Feature stories Who we are How we work What we create About report 176 3M 2021 Sustainability Report improvinglives,19,I,synthetic
6142,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"We have established internal standards for uniform compliance globally in the manufacturing, sale, testing, and promotion of medical devices, food or drink, food or drink supplements, food or drink additives, drugs, and cosmetics for use in or with humans or animals.",41,G,human
6214,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Each event addresses a global topic past events have focused on teaching and learning, the future of health in our society, and climate issues.",24,E,synthetic
6611,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Operating income1 Million $USD 7,030 7,690 7,210 6,170 7,160 16.0 1.85.",11,I,synthetic
6786,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Global Sustainability Standards Board GSSB GRI Standards - Core Option.,10,G,synthetic
6980,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,"Lean Management Implement responsible production, reduce energy use and environmental impact, strengthen lean management, introduce autonomization of production, and promote advanced production technology.",23,E,synthetic
7462,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Customers International and Industry Standards Commercial Contract Customer Code of Conduct Letter of Commitment to Customer's Honest Business Incorporating the declaration and commitment of integrity management into the commercial contract specifications accepting social responsibility audits including regular or irregular integrity management by customers to assess and control any possible business ethical risks.,52,G,human
8122,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Reduced consumption by 378.00 million liters -47.63% compared to the base year 2014.,13,E,synthetic
8542,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,T Taiwan Ratio of Basic Salary of Women to Men 2019 2020 2021.,13,S,synthetic
8548,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,The abovementioned information could be found in the Market Observation Post System.,12,I,synthetic
8643,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,"Three female employees were reinstated 100% of the time, and two male employees and four female employees were retained for one year, with retention rates of 100% and 80%, respectively.",30,S,synthetic
8792,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By doing so together, we will contribute to the sustainable development of the river area, ecology and environment.",18,E,synthetic
8840,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Topic Procurement Practices 204-1 Proportion of spending on local suppliers 103.,11,S,synthetic
8864,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,"RT-EE-410a.2 Percentage of eligible products, by revenue, that meet ENERGY STAR criteria 60.",13,E,synthetic
8972,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By leveraging technological research and development and engaging in cross-domain collaborations, AcBel is actively innovating to develop new products and services.",21,I,synthetic
9714,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,AcBel has implemented ISO 50001 and ISO 14064 management systems to ensure accurate inventorying of greenhouse gas emissions and precise monitoring of energy usage data.,25,E,synthetic
9791,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By fostering a culture of corporate integrity and values, and integrating it into our daily internal management, operations, and training, we strengthen the awareness of regulatory compliance among all employees at AcBel.",32,G,synthetic
10021,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,We also maintain compliance with the IECQ QC080000 Hazardous Sub- stance Management System certification to ensure the effectiveness of our management system.,22,E,human
10102,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By redesigning the packaging materials, we have been able to convert the supply paper boxes into shipping-ready paper boxes, resulting in a reduction of over 50% in packaging material usage.",30,E,synthetic
