id,sentence,original_need_debate,role,initial_label,initial_span,initial_rationale,claim
2243,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",False,B,S,supply chain information all the way to the forest sources,"The sentence focuses on supplier engagement and transparency in the supply chain, specifically regarding sourcing from forest sources, which relates to social factors like supply chain labor standards and responsible sourcing practices.","The sentence describes a process where 3M suppliers provide or forward supply chain information related to forest sources, which directly involves supplier engagement and transparency in sourcing practices, aligning with social factors such as supply chain labor standards and responsible sourcing, thus justifying the S label."
19294,Novartis invested in two pilot projects to support these efforts in 2020.,False,B,I,,"The sentence mentions pilot projects but lacks any specific ESG context to determine if they relate to environmental, social, or governance factors.","The sentence states that Novartis invested in pilot projects in 2020, but it does not specify what these projects entail, such as environmental initiatives, social programs, or governance improvements. Without explicit details linking the projects to ESG factors, the label 'I' (insufficient information) is justified, as the sentence alone lacks the necessary context to classify it under a specific ESG domain."
1395,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",True,B,S,data science and eight digitization functional learning paths,"The sentence describes employee training and development programs, which directly relates to human capital development and training & education under social factors.","The sentence explicitly details the launch of specific employee training programs—data science and digitization learning paths—which directly aligns with human capital development and training & education under social factors, supporting the S label."
5226,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",False,B,S,help employees and their families achieve their well-being goals,"The sentence focuses on employee well-being programs, which directly relates to human capital development and employee health, falling under social factors.","The sentence explicitly describes programs aimed at employee and family well-being, which is a core social factor under ESG, specifically addressing human capital and health, thus justifying the S label."
9154,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",False,B,E,low-carbon value creation,"The phrase 'low-carbon value creation' directly refers to reducing carbon emissions in the value chain, which is an environmental factor related to climate change and resource efficiency.","The phrase 'low-carbon value creation' explicitly addresses environmental concerns by focusing on reducing carbon emissions within the value chain, which is a core aspect of environmental (E) factors such as climate change mitigation and resource efficiency, as supported by the sentence's emphasis on achieving this through supply chain collaboration."
11240,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",False,B,S,does not discriminate based on gender,"The sentence explicitly addresses non-discrimination in remuneration, which falls under social factors related to diversity, inclusion, and equal opportunity.","The sentence explicitly states that remuneration packages do not discriminate based on gender, which directly addresses social factors related to diversity, inclusion, and equal opportunity, supporting the 'S' label."
1393,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",False,B,S,employee development,"The sentence focuses on providing learning resources and development opportunities for the global workforce, which directly relates to human capital development and training, key aspects of the Social (S) category.","The sentence explicitly mentions 'employee development' and describes a program offering learning resources to the global workforce, which is a direct investment in human capital and skills training, core components of the Social (S) category."
17055,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,True,B,E,Vehicle Environmental Matters,"The span directly references environmental aspects of vehicle operations, which falls under the Environmental (E) category, specifically addressing environmental management and strategy.","The sentence explicitly mentions 'Vehicle Environmental Matters' as a core function, which directly pertains to environmental management and strategy, confirming its classification under the Environmental (E) category."
4691,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",False,B,S,"training to a virtual environment, reaching approximately 25K employees","The sentence focuses on employee training and development, which relates to human capital development, a key social factor.","The sentence explicitly describes a large-scale employee training initiative, which directly aligns with the social (S) domain's focus on human capital development and workforce upskilling, as indicated by the provided rationale."
20544,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",False,B,G,"Risk Management Steering Committee, which reports progress to the Board","The sentence describes oversight and reporting structures for risk management, which are key governance mechanisms related to systemic risk management and board responsibility.","The sentence explicitly mentions a governance body, the Risk Management Steering Committee, and its reporting line to the Board, which are direct indicators of governance structures and oversight responsibilities, supporting the G label."
15920,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,True,B,E,environmental provision,"The phrase 'environmental provision' directly refers to accounting for environmental liabilities or costs, which falls under environmental factors in ESG.","The sentence explicitly mentions 'environmental provision,' which directly pertains to accounting for environmental liabilities or costs, a core aspect of environmental factors in ESG, as it involves estimating and managing environmental risks and obligations."
1987,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",False,B,G,outlines risk factors applicable to the company,"The sentence describes the disclosure of risk factors in a regulatory filing, which pertains to governance practices related to transparency and risk management.","The sentence explicitly references a regulatory filing (Annual Report on Form 10-K, Item 1A) that discloses risk factors, which is a governance practice mandated for transparency and risk management, aligning with the G label."
7427,Raising Awareness of Information Security of the Personnel Annual Requisition of All Personnel to Sign an Information Security Declaration Annual Performance of Information Security Simulation Exercises and Strengthening Information Security Awareness Monthly Informational E-newsletter Providing Information Security Information Advising and Supervising the Employees to Follow the Company's Information Security Policy Regular Arrangement of Online Information Safety Training for New Employees Aperiodic Physical Education Training on Information Security-related Topics.,False,B,S,Information Security,"The sentence focuses on employee training, awareness, and compliance with information security policies, which relates to customer privacy and data security as a social factor.","The sentence explicitly details organizational activities focused on employee training, awareness, and compliance regarding information security policies. This directly addresses the protection of customer data and privacy, which is a core social responsibility under the 'S' (Social) pillar of ESG, specifically concerning data security and stakeholder trust."
14181,Increasing the maximum annual bonus headroom to 200% of base salary to provide some additional flexibility but only in exceptional circumstances of recruitment.,False,B,G,Increasing the maximum annual bonus headroom to 200% of base salary,"This sentence discusses executive compensation policies, specifically bonus structures, which fall under governance factors related to remuneration and incentive alignment.","The sentence directly addresses executive compensation policy by specifying a change to the maximum annual bonus cap, which is a core governance issue concerning remuneration structures, incentive alignment, and board oversight of pay practices."
4477,Develops and monitors adherence with strong sustainability-related policies and procedures.,False,B,G,sustainability-related policies and procedures,"The sentence focuses on the development and monitoring of policies and procedures, which is a governance activity related to overseeing and managing sustainability impacts.","The sentence explicitly describes the development and monitoring of policies and procedures, which are core governance functions, and the term 'sustainability-related' directly links these activities to environmental, social, and governance oversight, making the G label appropriate."
1424,"All our people globally, at every level of the 3M organization, are provided with opportunities to develop themselves as leaders.",False,B,S,opportunities to develop themselves as leaders,"The sentence focuses on employee development and leadership training, which relates to human capital development and employee engagement under social factors.","The sentence explicitly addresses employee development and leadership training, which are core components of human capital development under the social (S) domain, as it focuses on enhancing employee skills, engagement, and career growth within the organization."
8193,Risk Management Human Rights Protection Low-carbon and Environmental Protection Health Safety.,False,B,S,Human Rights Protection,"The phrase 'Human Rights Protection' directly addresses social factors related to human rights, which is a core element of the social (S) category.","The phrase 'Human Rights Protection' in the sentence explicitly references a social factor, aligning with the social (S) category, as it pertains to human rights issues, which are a standard component of social ESG criteria."
2168,"This includes our use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas, our use of timberbased products and other plant materials pulp and paper , and all new suppliers in higher-risk countries, in areas such as Asia Pacific, Latin America, or parts of the Europe, Middle East, and Africa regions.",False,B,S,minerals with the potential to be sourced from conflict-affected and high-risk areas,"The sentence addresses supply chain labor standards and human rights concerns related to sourcing from conflict-affected areas, which falls under social factors.","The sentence explicitly mentions minerals potentially sourced from conflict-affected and high-risk areas, directly addressing human rights and labor standards in the supply chain, which are core social (S) factors in ESG frameworks."
13023,Develop dashboards to next level of detail to make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports.,False,B,G,make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports,"The sentence focuses on enhancing transparency of metrics and targets through detailed dashboards and reporting to the Board and Executive levels, which relates to governance oversight and accountability.","The sentence explicitly addresses governance by emphasizing enhanced transparency and accountability through detailed reporting to the Board and Executive levels, which are core governance structures responsible for oversight and decision-making."
12489,"This is creating significant growth opportunities, with commercial sales in multiple field crops and vegetables already secured.",False,B,I,,"The sentence discusses commercial sales and growth opportunities in agriculture without specifying any environmental, social, or governance factors.","The sentence focuses on commercial sales and growth opportunities in agriculture, which are economic and business aspects, not explicitly tied to environmental, social, or governance factors, thus justifying the 'I' label."
