id,year,report,sector,industry,company,sentence,label,rel_A,conf_A,keywords_A,rationale_A,raw_A
2243,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",,Yes,0.92,supply chain information|forest sources|suppliers|paper or pulp mills,"The sentence addresses supply chain transparency and traceability related to forest sources, which is an environmental and social governance aspect concerning sustainable sourcing and responsible supply chain management.","{""relevance"": ""Yes"", ""confidence"": 0.92, ""keywords"": [""supply chain information"", ""forest sources"", ""suppliers"", ""paper or pulp mills""], ""rationale"": ""The sentence addresses supply chain transparency and traceability related to forest sources, which is an environmental and social governance aspect concerning sustainable sourcing and responsible supply chain management.""}"
19294,2020,Novartis_2020_ESG,Manufacturing,Pharmaceutical,Novartis,Novartis invested in two pilot projects to support these efforts in 2020.,,No,0.6,invested|pilot projects|support these efforts,"The sentence mentions investment in pilot projects but does not specify that these projects relate to environmental, social, or governance issues, making the ESG relevance unclear.","{""relevance"": ""No"", ""confidence"": 0.6, ""keywords"": [""invested"", ""pilot projects"", ""support these efforts""], ""rationale"": ""The sentence mentions investment in pilot projects but does not specify that these projects relate to environmental, social, or governance issues, making the ESG relevance unclear.""}"
1395,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",,No,0.95,data science|digitization|learning paths|completions,"The sentence describes educational initiatives related to data science and digitization but does not explicitly address any environmental, social, or governance issues such as diversity, labor practices, environmental impact, or corporate governance.","{""relevance"": ""No"", ""confidence"": 0.95, ""keywords"": [""data science"", ""digitization"", ""learning paths"", ""completions""], ""rationale"": ""The sentence describes educational initiatives related to data science and digitization but does not explicitly address any environmental, social, or governance issues such as diversity, labor practices, environmental impact, or corporate governance.""}"
5226,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",,Yes,0.92,health|wellness|employees|well-being|programs,"The sentence addresses employee well-being programs, which are a key aspect of the Social dimension in ESG, focusing on health and wellness support for employees and their families.","{""relevance"": ""Yes"", ""confidence"": 0.92, ""keywords"": [""health"", ""wellness"", ""employees"", ""well-being"", ""programs""], ""rationale"": ""The sentence addresses employee well-being programs, which are a key aspect of the Social dimension in ESG, focusing on health and wellness support for employees and their families.""}"
9154,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",,Yes,0.92,collaborating with supply chain partners|low-carbon value creation|value chain innovation,"The sentence explicitly mentions 'low-carbon value creation,' which is directly related to environmental sustainability, and discusses collaboration in the supply chain, which is a social and governance aspect of ESG.","{""relevance"": ""Yes"", ""confidence"": 0.92, ""keywords"": [""collaborating with supply chain partners"", ""low-carbon value creation"", ""value chain innovation""], ""rationale"": ""The sentence explicitly mentions 'low-carbon value creation,' which is directly related to environmental sustainability, and discusses collaboration in the supply chain, which is a social and governance aspect of ESG.""}"
11240,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",,Yes,0.95,remuneration packages|does not discriminate based on gender,"The sentence addresses social aspects of ESG by highlighting non-discriminatory pay practices based on gender, which relates to diversity and equality in the workplace.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""remuneration packages"", ""does not discriminate based on gender""], ""rationale"": ""The sentence addresses social aspects of ESG by highlighting non-discriminatory pay practices based on gender, which relates to diversity and equality in the workplace.""}"
1393,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",,Yes,0.85,employee development|global workforce|learning resources,"The sentence addresses employee development, which is a key social aspect of ESG related to workforce training and education.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""employee development"", ""global workforce"", ""learning resources""], ""rationale"": ""The sentence addresses employee development, which is a key social aspect of ESG related to workforce training and education.""}"
17055,2023,Ford_2023_ESG,Manufacturing,Automobiles and Components,Ford,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,,Yes,0.95,sustainability strategy|sustainability reporting|stakeholder engagement|Vehicle Environmental Matters,"The sentence explicitly mentions coordinating sustainability strategy and activities, sustainability reporting, and integrating sustainability throughout the company, which are clear ESG-related functions.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""sustainability strategy"", ""sustainability reporting"", ""stakeholder engagement"", ""Vehicle Environmental Matters""], ""rationale"": ""The sentence explicitly mentions coordinating sustainability strategy and activities, sustainability reporting, and integrating sustainability throughout the company, which are clear ESG-related functions.""}"
4691,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",,No,0.85,in-person training|virtual environment|employees,"The sentence describes a shift in training delivery method and employee reach, which is operational but does not explicitly address any specific environmental, social, or governance issues.","{""relevance"": ""No"", ""confidence"": 0.85, ""keywords"": [""in-person training"", ""virtual environment"", ""employees""], ""rationale"": ""The sentence describes a shift in training delivery method and employee reach, which is operational but does not explicitly address any specific environmental, social, or governance issues.""}"
20544,2022,TSMC_2022_TCFD,Manufacturing,UNKNOWN,TSMC,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",,No,0.85,Risk mitigations|Risk Management Steering Committee|Board,The sentence discusses risk management governance structures but does not specify that these risks relate to ESG factors; it is a generic governance statement without explicit ESG context.,"{""relevance"": ""No"", ""confidence"": 0.85, ""keywords"": [""Risk mitigations"", ""Risk Management Steering Committee"", ""Board""], ""rationale"": ""The sentence discusses risk management governance structures but does not specify that these risks relate to ESG factors; it is a generic governance statement without explicit ESG context.""}"
