id,year,report,sector,industry,company,sentence,label,lab_C,conf_C,span_C,rationale_C,raw_C
2243,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",,S,0.85,3M suppliers can provide complete supply chain information all the way to the forest sources,"The sentence discusses supply chain information and engaging suppliers, which falls under social factors related to supply chain labor standards and supplier social assessment. While 'forest sources' might hint at environmental, the primary focus is on the social aspect of managing the supply chain through supplier engagement.","{""label"": ""S"", ""confidence"": 0.85, ""span"": ""3M suppliers can provide complete supply chain information all the way to the forest sources"", ""rationale"": ""The sentence discusses supply chain information and engaging suppliers, which falls under social factors related to supply chain labor standards and supplier social assessment. While 'forest sources' might hint at environmental, the primary focus is on the social aspect of managing the supply chain through supplier engagement.""}"
19294,2020,Novartis_2020_ESG,Manufacturing,Pharmaceutical,Novartis,Novartis invested in two pilot projects to support these efforts in 2020.,,I,0.9,,"The sentence mentions investment in pilot projects but lacks any specific ESG context, making it irrelevant to E, S, or G factors.","{""label"": ""I"", ""confidence"": 0.9, ""span"": """", ""rationale"": ""The sentence mentions investment in pilot projects but lacks any specific ESG context, making it irrelevant to E, S, or G factors.""}"
1395,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",,S,0.9,functional learning paths,"The sentence describes the launch of learning paths, which falls under human capital development and employee training, a key aspect of social factors.","{""label"": ""S"", ""confidence"": 0.9, ""span"": ""functional learning paths"", ""rationale"": ""The sentence describes the launch of learning paths, which falls under human capital development and employee training, a key aspect of social factors.""}"
5226,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",,S,0.95,help employees and their families achieve their well-being goals,"The sentence discusses programs and services aimed at improving the health, wealth, wellness, and resilience of employees and their families, which directly relates to employee well-being and human capital development, a key social factor.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""help employees and their families achieve their well-being goals"", ""rationale"": ""The sentence discusses programs and services aimed at improving the health, wealth, wellness, and resilience of employees and their families, which directly relates to employee well-being and human capital development, a key social factor.""}"
9154,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",,E,0.95,low-carbon value creation,"The phrase 'low-carbon value creation' directly relates to environmental efforts to reduce carbon emissions within the supply chain, which is a key environmental factor.","{""label"": ""E"", ""confidence"": 0.95, ""span"": ""low-carbon value creation"", ""rationale"": ""The phrase 'low-carbon value creation' directly relates to environmental efforts to reduce carbon emissions within the supply chain, which is a key environmental factor.""}"
11240,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",,S,0.95,discriminate based on gender,"The sentence explicitly mentions non-discrimination based on gender in remuneration, which falls under social factors related to diversity, inclusion, and equal opportunity in employment practices.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""discriminate based on gender"", ""rationale"": ""The sentence explicitly mentions non-discrimination based on gender in remuneration, which falls under social factors related to diversity, inclusion, and equal opportunity in employment practices.""}"
1393,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",,S,0.95,employee development,"The sentence describes a program focused on providing learning resources for employee development, which falls under human capital development, a key social factor.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""employee development"", ""rationale"": ""The sentence describes a program focused on providing learning resources for employee development, which falls under human capital development, a key social factor.""}"
17055,2023,Ford_2023_ESG,Manufacturing,Automobiles and Components,Ford,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,,G,0.85,Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement,"The sentence describes the coordination of a company-wide sustainability strategy, sustainability reporting, and stakeholder engagement, which are all aspects of governance related to ESG oversight and disclosure.","{""label"": ""G"", ""confidence"": 0.85, ""span"": ""Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement"", ""rationale"": ""The sentence describes the coordination of a company-wide sustainability strategy, sustainability reporting, and stakeholder engagement, which are all aspects of governance related to ESG oversight and disclosure.""}"
4691,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",,S,0.95,"in-person training to a virtual environment, reaching approximately 25K employees","The sentence discusses employee training and development, which falls under human capital management, a key aspect of social factors.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""in-person training to a virtual environment, reaching approximately 25K employees"", ""rationale"": ""The sentence discusses employee training and development, which falls under human capital management, a key aspect of social factors.""}"
20544,2022,TSMC_2022_TCFD,Manufacturing,UNKNOWN,TSMC,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",,G,0.95,"Risk Management Steering Committee, which reports progress to the Board","The sentence describes the oversight structure for risk management, involving a steering committee and reporting to the Board, which are key aspects of corporate governance.","{""label"": ""G"", ""confidence"": 0.95, ""span"": ""Risk Management Steering Committee, which reports progress to the Board"", ""rationale"": ""The sentence describes the oversight structure for risk management, involving a steering committee and reporting to the Board, which are key aspects of corporate governance.""}"
