id,year,report,sector,industry,company,sentence,token_count,label,label_source
209,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,The idea was to combine 3M technologies to create solutions for high-value needs in solar and wind energy systems.,19,E,synthetic
282,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"The company is partnering with other organizations to help improve patient outcomes, using its passion for patient-centered science to create differentiated, efficacious solutions.",23,S,human
665,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"3M Atherstone helped clear an area for animals at AIM Educational s new farm, where young people with disabilities or special educational needs will gain practical rural skills along with traditional academic qualifications More than 100 3M Poland employees and their families helped with painting and upkeep at two orphanages and a social care home Nearly 50 volunteers from 3M Mexico took part in forest maintenance activities at Nevado de Toluca, a national protected area, to help prevent forest fires 3M Korea brought a few nonprofit partners on-site, including The Beautiful Foundation, which creates aids to provide support and mobility for children with disabilities.",104,S,synthetic
871,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"They provide a framework that defines the roles, rights, and responsibilities of different groups within the organization, the Board s role in risk oversight, public policy engagement, and 3M s commitment to Sustainability.",33,G,human
1127,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,The participants included employees from all over the world and were subtitled in English and nine other languages.,18,S,human
1207,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,This commitment is evident in our Human Rights Policy and Supplier Responsibility Code.,13,S,synthetic
1454,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Total turnover includes voluntary turnover and all other forms of turnover e.g., termination as a result of restructuring, termination for poor performance, and retirements .",25,S,human
1504,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In 2019, we published our first-ever 2018 Year in Review of People and Culture magazine.",15,I,human
1983,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,This helps reduce our risk from local climate impacts on our operations.,12,E,synthetic
2140,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"The 3M Supplier Responsibility Code SRC is based on 3M s corporate values for sustainable and responsible operations and aligns with the 10 Principles of the United Nations Global Compact, of which 3M is a participant.",36,G,human
2207,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Beyond risk, we aim to utilize our supply chains in our overarching goals for Sustainability.",15,S,human
2214,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"which included the comprehensive RBA framework and expanded from 18 to 31 countries, covering every region of the world.",19,S,human
2365,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In several parts of the world, we use mobile vehicles to bring training and education directly to companies and workers at their job sites.",24,S,human
