id,sentence,role,original_need_debate,final_label,judge_confidence,rationale
2243,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",judge,False,S,0.85,"All three annotators agree on the 'S' label, focusing on the sentence's description of supplier engagement, transparency, and assessment mechanisms. The sentence details a process (an online survey) used to gather information through various tiers of the supply chain, which directly aligns with the 'supplier social assessment' and 'responsible sourcing' components of the Social definition. Annotator C provides the most robust justification by correctly identifying that the primary focus is the social interaction and data collection process within the supply chain, whereas the 'forest sources' represent the endpoint of that assessment rather than the primary environmental impact itself. While the context involves materials sourcing (often an E factor), the specific emphasis on the survey-based engagement and the forwarding of responsibility to sub-suppliers makes 'S' the most appropriate label according to the provided definitions."
19294,Novartis invested in two pilot projects to support these efforts in 2020.,judge,False,I,1.0,"All three annotators reached a consensus that the sentence lacks the necessary context to be classified under Environmental, Social, or Governance categories. The phrase 'these efforts' refers to preceding information not contained within the sentence itself, and the mention of 'pilot projects' is too vague to assign an ESG label. Without specific evidence linking the investment to ESG factors, the sentence is correctly identified as Irrelevant (I)."
1395,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",judge,True,S,0.95,"The sentence describes the implementation of specific functional learning paths and tracks the number of completions, which constitutes clear evidence of human capital development and employee training. According to the provided definitions, 'training & education / human capital development' is a core component of the Social (S) pillar. While Annotator A argues the training is generic, the ESG framework explicitly includes workforce skill enhancement as a social factor, making the S label more accurate than the Irrelevant (I) label."
5226,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",judge,False,S,1.0,"The sentence describes a framework of programs and services aimed at supporting the health, wealth, wellness, and resilience of employees and their families. This directly relates to the Social (S) pillar of ESG, specifically focusing on human capital management, employee well-being, and health and safety. All three annotators reached a consensus on the label and provided consistent rationales and spans, correctly identifying the focus on employee welfare."
9154,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",judge,False,E,1.0,"The sentence explicitly mentions 'low-carbon value creation,' which is a direct reference to carbon emission reduction and climate change mitigation strategies. This aligns perfectly with the Environmental (E) category, specifically covering GHG emissions (Scope 3) and transition opportunities within the supply chain. All three annotators reached a consensus on this label and span, correctly identifying that the primary objective of the described collaboration is environmental impact reduction."
11240,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",judge,False,S,1.0,"The sentence explicitly addresses non-discrimination based on gender within the context of remuneration packages. This directly aligns with the Social (S) definition, which includes diversity, inclusion, equal opportunity, and fair labor practices. While remuneration policies can occasionally fall under Governance (G) when referring to executive pay or board oversight, the focus here is on the social principle of gender equality across all positions, making S the most appropriate label. All three annotators reached a consensus on this label with consistent rationales."
1393,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",judge,False,S,1.0,"The sentence describes a specific initiative, 'Develop U,' which provides learning resources to 3M's global workforce for the purpose of 'employee development.' This falls squarely under the Social (S) category, specifically within the sub-categories of human capital development, training, and education. All three annotators reached a consensus on the label and the primary span, correctly identifying that investments in workforce skills and knowledge are key social factors."
17055,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,judge,True,G,0.85,"The sentence describes the functional responsibilities of a specific department, focusing on the coordination of company-wide strategy, sustainability reporting, and stakeholder engagement. These activities are core governance functions, as they relate to the oversight, management, and disclosure of ESG initiatives rather than specific environmental impacts or metrics. While the department name includes 'Environmental,' the actions described—coordinating, leading reporting, and integrating sustainability across functional areas—align most closely with the Governance (G) definition regarding the management of sustainability impacts and reporting."
4691,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",judge,False,S,1.0,"All three annotators correctly identified the sentence as belonging to the Social (S) category. The sentence explicitly mentions a large-scale 'training' initiative reaching '25K employees,' which directly aligns with the ESG definition of Social factors, specifically human capital development and training & education. There is no disagreement among the annotators, as the evidence for workforce development is clear and concrete."
20544,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",judge,False,G,1.0,"The sentence describes a formal oversight structure involving a 'Risk Management Steering Committee' and its reporting line to 'the Board.' This directly aligns with the Governance (G) definition, specifically regarding the role of the board in overseeing impacts, delegation of responsibility, and systemic risk management. All three annotators reached a consensus on the label G, correctly identifying that the mention of specific governance bodies and reporting mechanisms constitutes a clear governance disclosure."
15920,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,judge,True,E,0.95,"The sentence focuses on 'environmental provision,' which is a specific accounting term for liabilities related to environmental remediation or compliance. While the process involves management estimation (a governance function), the subject matter and the purpose of the financial reserve are fundamentally environmental. Annotators B and C correctly identify that the core material impact described is the management of environmental risks and obligations, which takes precedence over the general administrative process of estimation."
1987,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",judge,False,G,0.95,"The sentence refers to the disclosure of risk factors within a formal regulatory filing (Form 10-K, Item 1A). This directly relates to corporate governance themes such as transparency, regulatory compliance, and risk management oversight as defined in the ESG framework. All three annotators reached a consensus on the label 'G', correctly identifying that the mechanism of reporting these risks is a fundamental governance function. The mention of specific regulatory sections (Item 1A) reinforces the connection to legal and regulatory management."
